Review text,Ratings,label
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You. MORE",4,1
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this. MORE,1,0
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers. MORE,1,0
"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledge MORE",3,0
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrt MORE,1,0
Good quality product. Delivered on time. MORE,5,1
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was good MORE,5,1
Good quality original shuttles. MORE,5,1
Awesome MORE,5,1
nice original products MORE,5,1
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it..... MORE,5,1
Best in class.... MORE,5,1
it's genuine and price is less than our near by shop MORE,5,1
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product. MORE",1,0
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍 MORE,5,1
Nyc MORE,5,1
I usually buy them the same model but this did not last even for a day MORE,1,0
"Poor quality, not original MORE",2,0
Delivered on expected time MORE,5,1
nice and original product MORE,5,1
Very nice and Good price compare then local sports. MORE,5,1
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p... MORE,5,1
superb MORE,4,1
"Looked like defective once, without balance, had to throw 4 out of 6. MORE",1,0
Genuine product at very reasonable price....got for Rs 630/- MORE,4,1
Good sealed Original Yonex Shuttles MORE,5,1
They are not as expected...the head  portion break very soon...defective pieces.. MORE,2,0
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price. MORE,4,1
quality is poover MORE,5,1
good product MORE,5,1
Good product..... MORE,5,1
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness! MORE,4,1
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker. MORE",2,0
Local product MORE,1,0
Few of shuttle just separated from base in just a single shot. Very poor quality MORE,2,0
shuttle is over rotating MORE,2,0
Very bad quality. MORE,1,0
Worst quality after 2 or 3 shots the ball started to rotate. MORE,1,0
Not expecting this kind of products from flipkart. MORE,3,0
No one better shuttles in the market.good quality and reasonable price. MORE,5,1
low quality MORE,1,0
Superb quality... And best price.. Thanks to flipkart..! MORE,4,1
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800 MORE,1,0
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any. MORE,4,1
Very bad quality this time MORE,1,0
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350. MORE",1,0
"Quality is not good, rejected quality MORE",1,0
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great deal MORE,5,1
Really Nice productQuick delivery Thanks filpkart MORE,5,1
Very nice shuttle MORE,5,1
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..Pathetic MORE,1,0
Quality very low. Not orginal MORE,1,0
Worst MORE,1,0
Their is difference in online quality and market quality. local market products is far better than online products MORE,1,0
Dont but it.... worst product MORE,1,0
Low quality very bad quality 😡 MORE,1,0
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same. MORE",1,0
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back. MORE,1,0
Not genuine product MORE,1,0
